"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10"
0.0525,0.0719,0.0573,0.0296,0.1243,0.047,0.1034,0.0958,0.087
0.0669,0.0708,0.1472,0.1117,0.0951,0.1006,0.1034,0.0872,0.087
0.0447,0.0237,0.055,0.0569,0.0745,0.0601,0.1023,0.0958,0.087
0.0862,0.0639,0.0699,0.0634,0.0513,0.1092,0.097,0.0868,0.087
0.0523,0.0672,0.0572,0.1329,0.0598,0.0519,0.0906,0.0958,0.087
0.0623,0.0713,0.0542,0.1099,0.1148,0.0765,0.096,0.0895,0.087
0.0405,0.1774,0.0629,0.1458,0.1181,0.0556,0.096,0.0952,0.087
0.0357,0.0437,0.0793,0.0427,0.1104,0.0998,0.1062,0.0519,0.087
0.025,0.1722,0.0517,0.1351,0.1021,0.1116,0.0515,0.0958,0.087
0.0774,0.0526,0.0336,0.1102,0.0656,0.108,0.0561,0.0952,0.087
0.0571,0.0311,0.0408,0.1281,0.1011,0.107,0.0906,0.0872,0.087
0.1107,0.0835,0.1015,0.0708,0.1094,0.0617,0.0547,0.0958,0.087
0.0669,0.0858,0.0517,0.101,0.1054,0.0989,0.0474,0.0958,0.087
0.0575,0.0358,0.0293,0.0597,0.1183,0.0829,0.0991,0.0895,0.087
0.0677,0.0704,0.0417,0.1294,0.1243,0.0593,0.0961,0.082,0.087
0.1591,0.0619,0.0709,0.1298,0.0632,0.0508,0.0515,0.082,0.087
0.0862,0.0708,0.053,0.1079,0.1088,0.1115,0.0557,0.0895,0.087
0.0623,0.0419,0.0659,0.0533,0.0538,0.0896,0.1041,0.0932,0.087
0.0525,0.0267,0.1252,0.026,0.0513,0.0895,0.097,0.0932,0.087
0.0357,0.0738,0.066,0.0985,0.0995,0.0593,0.0909,0.0952,0.087
0.1274,0.0704,0.1216,0.0632,0.0567,0.1107,0.094,0.0958,0.087
0.025,0.0281,0.0561,0.0619,0.0941,0.107,0.0901,0.0915,0.087
0.0856,0.105,0.0604,0.0592,0.1255,0.1092,0.0909,0.0932,0.087
0.0275,0.1589,0.1371,0.0686,0.1166,0.107,0.0998,0.0915,0.087
0.0166,0.1722,0.0619,0.0464,0.0413,0.0819,0.0895,0.0952,0.087
0.0357,0.0481,0.1203,0.1207,0.0539,0.1137,0.0913,0.0872,0.087
0.077,0.0397,0.0788,0.062,0.1021,0.0916,0.0952,0.0952,0.087
0.0774,0.1147,0.0259,0.1199,0.041,0.1116,0.0975,0.082,0.087
0.0405,0.0485,0.0572,0.0655,0.0679,0.108,0.0965,0.082,0.087
0.1048,0.0286,0.0542,0.0579,0.0465,0.1025,0.0991,0.0942,0.087
0.1629,0.0529,0.0698,0.0521,0.1046,0.0935,0.1062,0.0868,0.087
0.0166,0.0363,0.0451,0.0693,0.0527,0.1137,0.0913,0.0952,0.087
0.1481,0.0438,0.0656,0.1219,0.1183,0.1057,0.0987,0.0932,0.087
0.2149,0.0561,0.0291,0.0486,0.0325,0.1017,0.0998,0.0872,0.087
0.0134,0.0735,0.1216,0.1288,0.0519,0.0549,0.0944,0.0958,0.087
0.0525,0.0237,0.0328,0.0493,0.047,0.1006,0.0952,0.0942,0.087
0.0654,0.0325,0.1441,0.0456,0.1302,0.0549,0.0895,0.0958,0.087
0.0234,0.0286,0.1095,0.1482,0.1111,0.0472,0.096,0.0915,0.087
0.0774,0.0632,0.0788,0.1117,0.1036,0.0888,0.0905,0.0942,0.087
0.0862,0.0481,0.1275,0.0562,0.0923,0.1184,0.0557,0.082,0.087
0.0447,0.1187,0.1472,0.0496,0.0518,0.0888,0.097,0.0872,0.087
0.1629,0.157,0.0674,0.0909,0.1237,0.1025,0.1062,0.082,0.087
0.077,0.0605,0.0631,0.1318,0.1102,0.0468,0.0991,0.0958,0.087
0.1481,0.0466,0.1302,0.0486,0.0387,0.049,0.0946,0.0868,0.087
0.0856,0.0378,0.1079,0.0381,0.103,0.0552,0.0944,0.0519,0.087
0.0234,0.0336,0.1706,0.0464,0.0995,0.097,0.1041,0.0952,0.087
0.0495,0.1664,0.1631,0.0999,0.1093,0.1033,0.0913,0.0872,0.087
0.0079,0.0693,0.055,0.1298,0.047,0.0543,0.097,0.0958,0.087
0.0571,0.0749,0.1249,0.0536,0.1183,0.1006,0.0987,0.0868,0.087
0.1274,0.0529,0.0619,0.1441,0.1179,0.0562,0.0911,0.0952,0.087
0.1274,0.0237,0.0652,0.0373,0.0482,0.0959,0.0474,0.0868,0.087
0.0862,0.0353,0.1355,0.0855,0.126,0.041,0.1023,0.082,0.087
0.1107,0.1157,0.1202,0.107,0.0599,0.0916,0.0901,0.0952,0.087
0.0525,0.0738,0.0737,0.0634,0.1117,0.1079,0.0906,0.0952,0.087
0.0666,0.1085,0.0737,0.11,0.0567,0.09,0.0828,0.0932,0.087
0.0654,0.1738,0.0417,0.0632,0.0995,0.0562,0.0564,0.0868,0.087
0.0166,0.0216,0.0552,0.1235,0.0912,0.0959,0.1013,0.0942,0.087
0.0623,0.0321,0.0448,0.0279,0.0563,0.1161,0.0946,0.0942,0.087
0.02,0.0519,0.12,0.0384,0.1111,0.1018,0.1041,0.0952,0.087
0.1048,0.0525,0.0222,0.1107,0.0627,0.0911,0.0895,0.0895,0.087
0.0594,0.0411,0.0564,0.0547,0.1171,0.091,0.1023,0.0872,0.087
0.0571,0.0639,0.0561,0.0855,0.0921,0.0552,0.0992,0.0872,0.087
0.1445,0.061,0.0619,0.1247,0.1177,0.0907,0.097,0.0932,0.087
0.1591,0.1183,0.0575,0.0533,0.0449,0.061,0.0906,0.0872,0.087
0.0623,0.0164,0.0619,0.1386,0.1243,0.1118,0.0804,0.0915,0.087
0.025,0.0378,0.0939,0.1235,0.1232,0.1007,0.0442,0.0519,0.087
0.02,0.0321,0.1506,0.1183,0.094,0.0617,0.0961,0.0519,0.087
0.1629,0.157,0.1653,0.0999,0.0632,0.1007,0.1041,0.0952,0.087
0.0862,0.0212,0.1524,0.0456,0.0508,0.0916,0.0547,0.0519,0.087
0.077,0.0693,0.0408,0.0559,0.1092,0.0617,0.0901,0.0958,0.087
0.0234,0.0719,0.0403,0.0597,0.0912,0.0916,0.0998,0.082,0.087
0.1445,0.052,0.049,0.0459,0.0325,0.1079,0.0997,0.0915,0.087
0.0623,0.0693,0.0629,0.0485,0.0567,0.0971,0.1062,0.0519,0.087
0.0447,0.0321,0.1266,0.1419,0.1018,0.1066,0.1062,0.0868,0.087
0.0361,0.1633,0.0407,0.0438,0.0628,0.0508,0.0906,0.0932,0.087
0.0623,0.1386,0.1371,0.0898,0.0921,0.1093,0.0961,0.0519,0.087
0.0166,0.1157,0.0339,0.1207,0.1114,0.0601,0.0987,0.0932,0.087
0.1481,0.0519,0.1125,0.0438,0.126,0.0895,0.0895,0.0942,0.087
