"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10"
-0.3163,-0.2658,-0.2528,-0.2981,-0.2327,-0.2481,-0.2707,-0.2701,-0.275
-0.2962,-0.3176,-0.3027,-0.3421,-0.2762,-0.2726,-0.2563,-0.2701,-0.275
-0.3214,-0.3735,-0.2416,-0.2964,-0.2804,-0.2785,-0.2697,-0.2753,-0.275
-0.2418,-0.3004,-0.2779,-0.2446,-0.2916,-0.2454,-0.2566,-0.2956,-0.275
-0.2144,-0.2884,-0.3124,-0.2893,-0.2617,-0.2716,-0.279,-0.263,-0.275
-0.331,-0.2246,-0.2618,-0.2255,-0.2833,-0.2857,-0.3079,-0.263,-0.275
-0.1945,-0.3262,-0.2667,-0.2965,-0.2656,-0.2484,-0.2933,-0.2705,-0.275
-0.1334,-0.1727,-0.3094,-0.2731,-0.3014,-0.3068,-0.2857,-0.263,-0.275
-0.2962,-0.3024,-0.3346,-0.2519,-0.2615,-0.2639,-0.2514,-0.271,-0.275
-0.2638,-0.2332,-0.194,-0.2981,-0.2646,-0.2808,-0.285,-0.296,-0.275
-0.3214,-0.3176,-0.2179,-0.2973,-0.2491,-0.3064,-0.2641,-0.296,-0.275
-0.2138,-0.2512,-0.2357,-0.2521,-0.3021,-0.2808,-0.2697,-0.2753,-0.275
-0.3286,-0.348,-0.2764,-0.2563,-0.2644,-0.2966,-0.2934,-0.296,-0.275
-0.4005,-0.371,-0.2912,-0.3383,-0.2764,-0.3064,-0.2565,-0.2829,-0.275
-0.2932,-0.3715,-0.3068,-0.3646,-0.2327,-0.2966,-0.265,-0.2634,-0.275
-0.1945,-0.2973,-0.2364,-0.2984,-0.3007,-0.2632,-0.2653,-0.271,-0.275
-0.2962,-0.371,-0.2674,-0.2559,-0.2953,-0.2794,-0.2841,-0.296,-0.275
-0.3626,-0.3176,-0.2471,-0.254,-0.2815,-0.2537,-0.2841,-0.2651,-0.275
-0.3615,-0.2662,-0.3227,-0.3222,-0.2999,-0.3315,-0.2704,-0.2705,-0.275
-0.2962,-0.2423,-0.2445,-0.2424,-0.2833,-0.2963,-0.2641,-0.296,-0.275
-0.3163,-0.187,-0.2529,-0.2224,-0.254,-0.2964,-0.2924,-0.2705,-0.275
-0.1724,-0.3735,-0.235,-0.3222,-0.3135,-0.2392,-0.2566,-0.2701,-0.275
-0.2295,-0.2144,-0.2505,-0.3405,-0.2375,-0.2492,-0.2928,-0.296,-0.275
-0.2159,-0.2449,-0.2115,-0.2639,-0.2928,-0.3131,-0.2697,-0.2651,-0.275
-0.1945,-0.2424,-0.2414,-0.3115,-0.2337,-0.2724,-0.2934,-0.263,-0.275
-0.1724,-0.3279,-0.2043,-0.2758,-0.3265,-0.2857,-0.2841,-0.263,-0.275
-0.3983,-0.2873,-0.2387,-0.2601,-0.2731,-0.3436,-0.265,-0.296,-0.275
-0.2418,-0.2507,-0.2503,-0.2753,-0.3134,-0.2481,-0.3084,-0.2705,-0.275
-0.3983,-0.3303,-0.2529,-0.2597,-0.2587,-0.28,-0.2787,-0.271,-0.275
-0.3545,-0.2642,-0.2364,-0.3504,-0.3139,-0.2658,-0.3084,-0.263,-0.275
-0.2418,-0.3033,-0.3249,-0.3119,-0.2634,-0.3145,-0.2841,-0.2705,-0.275
-0.2409,-0.3002,-0.1924,-0.2507,-0.3047,-0.2979,-0.2721,-0.2956,-0.275
-0.2409,-0.3265,-0.292,-0.2428,-0.2486,-0.28,-0.3237,-0.2956,-0.275
-0.2638,-0.2514,-0.2724,-0.2649,-0.3331,-0.2566,-0.2698,-0.2829,-0.275
-0.3538,-0.2431,-0.2948,-0.2363,-0.245,-0.2808,-0.2857,-0.2956,-0.275
-0.3562,-0.2638,-0.3538,-0.3115,-0.2571,-0.2818,-0.2622,-0.2705,-0.275
-0.1724,-0.265,-0.3249,-0.274,-0.2639,-0.313,-0.2928,-0.2829,-0.275
