"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10"
0.0376,0.031,0.0516,0.0548,0.0636,0.0402,0.0575,0.0406,0.053
0.0576,0.0512,0.0301,0.056,0.0346,0.0581,0.0588,0.0546,0.053
0.0122,0.0401,0.0469,0.0381,0.0665,0.0614,0.0511,0.0562,0.053
0.0376,0.0408,0.0609,0.0626,0.0681,0.0527,0.0491,0.0533,0.053
0.0441,0.0223,0.039,0.073,0.0446,0.0603,0.0511,0.0533,0.053
0.0978,0.0453,0.0463,0.038,0.0344,0.051,0.0588,0.0545,0.053
0.0315,0.0205,0.065,0.0599,0.0642,0.0419,0.0581,0.056,0.053
0.0235,0.0626,0.0519,0.0447,0.0423,0.0431,0.0568,0.0484,0.053
0.0576,0.0794,0.0388,0.0324,0.0379,0.0393,0.0592,0.056,0.053
0.0235,0.0453,0.0403,0.0652,0.0664,0.0499,0.0588,0.0484,0.053
0.0212,0.0389,0.0469,0.064,0.0539,0.0392,0.0511,0.0533,0.053
0.0846,0.0389,0.0638,0.0466,0.0527,0.0657,0.0554,0.0545,0.053
0.0235,0.0421,0.0286,0.0524,0.0439,0.061,0.0511,0.0546,0.053
0.048,0.0997,0.0203,0.0392,0.0348,0.052,0.0404,0.0569,0.053
0.0484,0.0743,0.0634,0.0355,0.0561,0.0589,0.0578,0.0545,0.053
0.048,0.0453,0.029,0.0402,0.0683,0.0606,0.0583,0.0406,0.053
0.0477,0.0793,0.0357,0.0753,0.0692,0.0323,0.0574,0.0406,0.053
0.048,0.0396,0.0512,0.0707,0.0439,0.0417,0.0491,0.0546,0.053
0.0198,0.0438,0.065,0.0485,0.0568,0.0387,0.0575,0.056,0.053
0.0953,0.0322,0.0367,0.074,0.0659,0.0428,0.0593,0.0551,0.053
0.0212,0.0491,0.0254,0.0484,0.0565,0.0537,0.0404,0.0545,0.053
0.0953,0.0573,0.0645,0.0346,0.0544,0.0336,0.056,0.0406,0.053
0.1034,0.025,0.0401,0.0752,0.0664,0.0323,0.0576,0.0545,0.053
0.0198,0.0473,0.0355,0.058,0.0394,0.0564,0.0404,0.0551,0.053
0.1034,0.0278,0.0698,0.0466,0.0607,0.0363,0.0578,0.0546,0.053
0.0243,0.0997,0.0624,0.0423,0.0368,0.0642,0.0554,0.0533,0.053
0.0477,0.0583,0.0335,0.0648,0.0431,0.0608,0.0588,0.0536,0.053
0.1353,0.0408,0.0341,0.0481,0.0527,0.0442,0.0495,0.0533,0.053
0.0205,0.0626,0.0844,0.0748,0.0344,0.0618,0.0588,0.0533,0.053
0.0315,0.1058,0.0517,0.0358,0.0607,0.0327,0.0583,0.0545,0.053
0.0197,0.0353,0.0284,0.0741,0.0555,0.051,0.0583,0.0533,0.053
0.0315,0.0626,0.0437,0.0455,0.0651,0.0387,0.06,0.0562,0.053
0.0281,0.0658,0.0469,0.0412,0.0433,0.0387,0.0579,0.0551,0.053
0.0299,0.0307,0.0244,0.0457,0.0647,0.06,0.0593,0.056,0.053
0.0315,0.0583,0.0634,0.0428,0.0418,0.0468,0.0416,0.0551,0.053
0.0548,0.0751,0.0617,0.0693,0.0344,0.0511,0.0345,0.0562,0.053
0.0226,0.0494,0.0645,0.0586,0.0539,0.0603,0.0583,0.0406,0.053
0.096,0.0602,0.0656,0.0493,0.0631,0.0537,0.0412,0.0406,0.053
0.0377,0.0596,0.0454,0.0441,0.059,0.0638,0.0575,0.0569,0.053
0.0226,0.0389,0.0691,0.0618,0.0421,0.06,0.0554,0.0562,0.053
0.0471,0.0602,0.0513,0.0548,0.0471,0.055,0.0441,0.0546,0.053
0.0373,0.0576,0.0477,0.0321,0.0522,0.0562,0.0579,0.0533,0.053
0.0723,0.0616,0.0437,0.0392,0.0354,0.0468,0.0495,0.0545,0.053
0.0803,0.0401,0.0698,0.0447,0.0557,0.0622,0.0424,0.0545,0.053
0.0576,0.0438,0.0543,0.0344,0.0354,0.0589,0.0441,0.0536,0.053
0.0986,0.0583,0.0461,0.0567,0.0552,0.0354,0.0495,0.056,0.053
0.0435,0.0525,0.0835,0.0493,0.0646,0.0327,0.0486,0.0484,0.053
0.0212,0.0859,0.0535,0.0441,0.0435,0.06,0.0592,0.0551,0.053
0.0376,0.0396,0.0454,0.0584,0.032,0.0551,0.056,0.0484,0.053
0.0299,0.0626,0.0629,0.0324,0.0324,0.06,0.0511,0.0569,0.053
0.0484,0.0425,0.0701,0.0726,0.0333,0.0323,0.0511,0.0533,0.053
0.0183,0.0634,0.0286,0.0442,0.0416,0.0537,0.0416,0.0551,0.053
0.0498,0.1025,0.0335,0.0363,0.0544,0.0622,0.0431,0.0484,0.053
0.0212,0.0583,0.026,0.0374,0.0555,0.0618,0.0486,0.0533,0.053
0.1353,0.0283,0.0695,0.0493,0.0629,0.0539,0.0412,0.056,0.053
0.0471,0.0442,0.0355,0.0321,0.0544,0.052,0.0554,0.0569,0.053
0.1034,0.0438,0.0363,0.051,0.0669,0.0323,0.0521,0.0406,0.053
0.0368,0.0396,0.0574,0.0656,0.0548,0.0409,0.056,0.0545,0.053
