"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10","Npop11","Npop12"
0.0107,0.0232,-0.0144,7e-04,-0.0154,-0.0266,0.0055,-0.0023,0.0058,-0.0022,-0.001
0.048,2e-04,-0.0265,0.0039,0.0042,0.0011,-0.0052,0.0043,0.0079,0.0013,-0.001
-0.0608,0.0359,0.0054,-0.0168,-0.004,0.0055,0.0089,0.0055,1e-04,-0.0022,-0.001
-0.0055,-3e-04,-0.0136,-0.0109,0.0062,0.0096,0.005,0.0023,0.0091,9e-04,-0.001
-0.0507,0.0208,0.0064,0,0.013,-0.0155,-0.0016,0.0073,-0.0072,0.0062,-0.001
0.0072,0.0126,0.0077,0.0046,-0.0035,-0.016,-0.0042,-0.0067,-6e-04,0.0021,-0.001
-5e-04,0.0368,-0.008,-0.0069,0.0048,0.0117,-6e-04,-0.0062,0.0023,0.0021,-0.001
0.0102,-0.018,0.0141,0.0053,-0.0049,0.0063,-0.0018,-0.0023,-6e-04,0.0021,-0.001
0.0189,-0.0055,-0.0066,-0.0046,-0.0064,0.0048,0.0131,0.0123,-0.0139,9e-04,-0.001
-0.0138,-0.0256,0.0034,0.0044,-0.0029,0.0089,-0.0071,0.0075,-0.0048,-0.0057,-0.001
0.0133,-0.0053,0.0396,-0.0088,0.0085,-0.007,-0.0063,-0.006,-0.0012,-0.008,-0.001
0.0123,0.0048,0.0128,-0.0136,-0.0045,-0.001,0.006,0.0036,0.0021,3e-04,-0.001
0.0183,-0.028,-0.0274,-0.0069,-0.0194,-0.0047,0.002,-0.0037,-0.0047,0.0021,-0.001
0.0123,0.0126,-0.0044,-0.0037,0.0139,0.0098,-0.0016,-0.0029,-0.001,0.0021,-0.001
-0.0507,-0.0363,4e-04,-0.0316,-0.0164,0.0033,-0.0037,-0.0078,-0.0068,-1e-04,-0.001
-0.0077,-0.0164,0.0071,0.0211,-0.0196,-0.01,0.0036,-0.0067,-0.005,3e-04,-0.001
0.0295,0.0143,-0.005,-4e-04,0.0102,9e-04,-0.0129,0.0037,0.0103,-0.002,-0.001
-0.0608,-0.023,0.0208,-0.0088,-0.0171,0.0138,-0.0041,-0.0035,-0.0037,-1e-04,-0.001
0.0313,0.024,0.0029,-0.0104,0.0131,0.0095,-0.005,-0.0059,-0.0036,-0.0057,-0.001
0.0072,-0.0073,-0.0029,0.0119,-0.015,0.0057,-0.0174,0.0037,-0.0072,-0.008,-0.001
-0.0189,-0.0047,0.0063,-0.0101,0.003,-0.0109,0.0062,-0.0043,0.0013,-0.0057,-0.001
-0.0507,-0.0371,-0.0161,-0.0074,-0.0075,-0.0071,-0.0085,0.0119,-0.0074,-0.0022,-0.001
0.0102,0.0359,-0.0136,-0.0113,0.0136,0.014,-0.0078,-0.0067,0.0037,-0.002,-0.001
-0.0234,0.0042,0.029,0.0029,0.0166,-0.0116,0.0028,0.0023,-0.0139,-0.008,-0.001
0.0189,-0.0147,-0.0223,-0.0013,0.0052,0.0112,-0.0082,0.0021,0.0027,-0.0054,-0.001
0.0602,0.0313,-0.0097,-0.0177,0.0042,-0.0047,-0.0102,0.0025,0.005,0.0062,-0.001
0.0313,-0.0207,-0.0125,-0.0174,-0.0069,-0.0115,-0.0085,-0.0097,0.0026,-0.008,-0.001
0.0158,-8e-04,-0.0276,0.0161,0.0162,-8e-04,-0.001,-0.0063,-0.001,-0.0022,-0.001
-0.0507,0.0368,-0.021,-0.0109,-0.0065,-0.0232,0.004,-0.0061,-0.0074,3e-04,-0.001
0.0253,-1e-04,0.0086,-0.0182,-0.0166,-0.0075,0.0053,0.0037,-0.001,0.0013,-0.001
-0.0211,-0.0117,0.0025,3e-04,0.0152,0.01,0.0059,-0.0086,-0.001,-0.002,-0.001
-0.0189,0.0167,0.0396,-0.0276,-0.0041,-0.0106,-0.0027,0.0012,0.0084,0.0021,-0.001
-0.0368,-0.0215,0.007,-0.0265,-0.0129,0.008,-0.0047,-0.0041,0.0079,-1e-04,-0.001
0.0165,0.0052,-0.0111,0.0176,0.0137,-0.0199,0.017,0.0051,-0.0139,-0.0022,-0.001
-0.0566,0.0313,-0.0191,-0.0174,-4e-04,0.0036,-0.0017,6e-04,-0.0024,-0.008,-0.001
